customer_id,age_group,customer_segment,spending_score,loyalty_tier,avg_order_value,purchase_frequency_30d,discount_affinity,city,state,delivery_zone,dark_store_id,date,day_of_week,is_weekend,hour,time_of_day,temperature_c,rainfall_mm,humidity_pct,weather_condition,festival,festival_flag,local_event_flag,product_id,product_name,brand,category,base_product,pack_size,mrp,unit_cost,unit_price,shelf_life_days,product_rating,review_count,negative_review_rate,product_popularity_score,trend_signal,trend_category,product_views_7d,product_views_30d,add_to_cart_count_7d,purchase_count_7d,previous_purchase_count,repeat_purchase_flag,days_since_last_purchase,sales_1d,sales_7d,sales_30d,historical_demand_30d,demand_trend_pct,demand_status,current_stock,minimum_stock,maximum_stock,stock_turnover_days,days_to_expiry,expiry_risk,stockout_flag,stockout_risk_pct,competitor_1_price,competitor_2_price,competitor_price_gap_pct,competitor_discount_pct,current_discount_pct,promotion_type,promotion_eligible,discount_cost,gross_margin_before_promo,expected_units_without_promo,expected_units_with_promo,expected_revenue_without_promo,expected_revenue_with_promo,expected_profit_without_promo,expected_profit_with_promo,profit_impact_pct,expected_inventory_reduction,clearance_priority_score,recommended_action,scenario
C08294,35-44,Premium,28.7,Silver,502.62,2,0.647,Coimbatore,Tamil Nadu,COI-Z5,COI-DS11,2026-04-20,Monday,False,8,Morning,25.9,0.0,61.9,Clear/Cloudy,,0,0,P0084,Leafy Greens Large,UrbanBasket,Fruits & Vegetables,Leafy Greens,Large,90,70.22,80.41,365,3.84,6,0.305,50.92,Normal,,35,105,4,1,1,1,40,4,27,110,6.38,5.06,Stable,27,8,54,4.17,99,Low,0,5.65,87.02,87.94,-7.6,20,10,Coupon,0,8.04,10.19,4,5,321.64,361.85,40.76,10.75,-74.26,5,11.5,NO PROMOTION,Normal
C03605,45-54,Deal_Seeker,18.1,Gold,380.18,2,0.821,Bengaluru,Karnataka,BEN-Z6,BEN-DS14,2026-06-29,Monday,False,5,Night,32.0,0.0,43.8,Clear/Cloudy,Ganesh Chaturthi,1,0,P0040,Coffee Small,NatureBest,Beverages,Coffee,Small,400,289.32,374.54,5,3.14,15,0.396,48.39,Viral,Beverages,27,116,0,0,0,0,102,0,0,0,2.42,0.0,Stable,6,4,26,2.38,2,High,0,5.94,396.15,418.64,-5.46,5,5,,1,18.73,85.22,0,0,0.0,0.0,0.0,0.0,-100.0,0,35.33,CLEARANCE,Overstock
C11954,25-34,Deal_Seeker,12.7,,237.7,3,0.503,Bengaluru,Karnataka,BEN-Z5,BEN-DS4,2026-06-30,Tuesday,False,22,Late Evening,35.0,13.6,82.5,Rain,,0,0,P0059,Nuts Medium,NatureBest,Snacks,Nuts,Medium,250,131.86,207.26,1,3.27,28,0.412,51.01,Normal,,29,111,3,1,3,1,20,3,24,84,2.85,21.67,Stable,25,4,22,8.47,0,Critical,0,10.83,225.13,187.86,10.33,15,0,Clearance,1,0.0,75.4,3,3,621.78,621.78,226.2,226.2,-0.44,3,82.5,CLEARANCE,Normal
C12208,25-34,Regular,36.9,Silver,565.24,4,0.495,Mumbai,Maharashtra,MUM-Z8,MUM-DS8,2026-05-13,Wednesday,False,19,Evening,29.1,0.0,48.5,Clear/Cloudy,Onam,1,0,P0078,Mango Large,DailyBasket,Fruits & Vegetables,Mango,Large,35,27.31,29.71,365,2.86,70,0.421,50.81,Normal,,33,119,2,1,1,0,59,2,11,42,2.38,11.43,Stable,15,3,20,6.05,135,Low,0,9.13,28.87,29.91,2.91,0,0,Coupon,0,0.0,2.4,2,2,59.42,59.42,4.8,4.8,-17.24,2,10.51,REVIEW PRODUCT QUALITY,Overstock
C09209,45-54,Regular,64.5,,790.03,4,0.716,Hyderabad,Telangana,HYD-Z5,HYD-DS3,2026-07-03,Friday,False,19,Evening,33.9,0.0,63.5,Clear/Cloudy,,0,0,P0009,Bread Large,DailyBasket,Dairy & Breakfast,Bread,Large,200,130.11,186.74,180,3.6,33,0.321,68.96,Normal,,40,202,6,4,2,0,94,2,18,75,3.67,2.75,Stable,15,6,21,3.98,53,Low,1,7.18,189.78,199.86,23.5,10,10,Clearance,0,18.67,56.63,3,3,560.22,504.21,169.89,113.88,-33.36,3,8.8,COMPETITIVE PRICE OFFER,Competitor_Cheaper
C09498,35-44,Occasional,63.7,,665.01,4,0.837,Bengaluru,Karnataka,BEN-Z7,BEN-DS1,2026-05-04,Monday,False,14,Afternoon,37.7,0.0,58.3,Hot,,0,0,P0026,Soft Drinks Medium,NatureBest,Beverages,Soft Drinks,Medium,75,57.7,67.15,3,3.72,206,0.308,46.18,Declining,,29,104,1,1,1,1,55,1,2,5,0.21,44.64,Growing,1,2,7,3.23,1,Critical,1,20.38,74.35,63.18,6.28,10,10,,1,6.72,9.45,0,0,0.0,0.0,0.0,0.0,-100.0,0,37.0,CLEARANCE,Normal
C12314,45-54,Budget,85.1,,894.67,6,0.737,Visakhapatnam,Andhra Pradesh,VIS-Z4,VIS-DS5,2026-07-17,Friday,False,10,Morning,27.9,19.7,76.5,Rain,,0,0,P0032,Water Medium,DailyBasket,Beverages,Water,Medium,400,245.24,367.15,90,3.77,16,0.306,52.62,Normal,,33,131,2,1,2,0,27,2,8,28,2.83,20.28,Stable,10,3,17,3.41,71,Low,0,11.17,401.12,361.27,1.63,15,40,Coupon,0,146.86,121.91,1,2,367.15,440.58,121.91,-49.9,-140.6,2,10.97,NO PROMOTION,Normal
C01231,45-54,Regular,61.2,,765.3,3,0.731,Ahmedabad,Gujarat,AHM-Z6,AHM-DS5,2026-07-17,Friday,False,0,Night,25.2,20.2,79.7,Rain,,0,0,P0024,Oats Large,QuickFresh,Dairy & Breakfast,Oats,Large,130,77.0,126.84,60,3.18,14,0.443,47.9,Declining,,36,105,5,4,2,1,6,1,9,40,3.53,-3.32,Stable,28,6,24,7.71,6,Medium,0,11.51,115.5,144.98,20.88,10,0,Bundle,1,0.0,49.84,1,1,126.84,126.84,49.84,49.84,-1.97,1,39.66,REVIEW PRODUCT QUALITY,Competitor_Cheaper
C14054,45-54,Regular,88.9,Silver,952.84,6,0.423,Gurugram,Haryana,GUR-Z5,GUR-DS2,2026-05-04,Monday,False,15,Afternoon,28.7,0.0,51.8,Clear/Cloudy,Ganesh Chaturthi,1,0,P0083,Leafy Greens Medium,DailyBasket,Fruits & Vegetables,Leafy Greens,Medium,45,32.2,42.95,5,3.48,51,0.319,49.57,Normal,,36,109,8,1,6,0,92,2,17,60,4.25,20.41,Stable,31,7,31,7.13,1,Critical,0,10.47,45.24,41.79,2.78,10,0,,1,0.0,10.75,2,2,85.9,85.9,21.5,21.5,-4.44,2,55.67,CLEARANCE,Overstock
C13709,18-24,Regular,48.0,Gold,600.29,2,0.161,Delhi,Delhi,DEL-Z3,DEL-DS9,2026-06-13,Saturday,True,21,Late Evening,30.1,0.0,62.0,Clear/Cloudy,Diwali,1,0,P0033,Water Large,FreshChoice,Beverages,Water,Large,75,56.49,65.6,15,3.62,8,0.356,57.37,Emerging,Collectible Toy,36,113,3,0,2,1,47,5,47,222,7.71,-9.14,Stable,5,9,46,2.05,5,Medium,1,98.12,69.92,62.95,4.21,0,25,Bundle,0,16.4,9.11,7,12,459.2,590.4,63.77,-87.48,-235.06,12,20.24,REPLENISH / AVOID DISCOUNT,Stockout_Risk
